ID,Food Name,Serving Types,cooked Type,Carb_1,Fat_1,Protein_1,Carb_2,Fat_2,Protein_2,Carb_3,Fat_3,Protein_3,Carb_4,Fat_4,Protein_4
273,Almond Milk - Chocolate - Unsweetened,cup/mL,none,2.0,3.0,1.0,0.008,0.013,0.004,,,,,,
274,Almond Milk - Chocolate - Sweetened,cup/mL,none,19.0,2.5,1.0,0.08,0.011,0.004,,,,,,
275,Oat Milk - Vanilla - Unsweetened,cup/mL,none,8.0,0.5,1.0,0.034,0.002,0.004,,,,,,
276,Oat Milk - Unsweetened,cup/mL,none,8.0,0.5,1.0,0.034,0.002,0.004,,,,,,
277,Oat Milk - Vanilla - Sweetened,cup/mL,none,8.0,4.5,1.0,0.034,0.019,0.004,,,,,,
278,Oat Milk - Chocolate,cup/mL,none,31.0,2.0,3.0,0.129,0.008,0.0125,,,,,,
279,Coconut Milk - Unsweetened,cup/mL,none,1.0,4.5,0.0,0.004,0.019,0.0,,,,,,
280,Coconut Milk - Sweetened,cup/mL,none,7.0,5.0,0.5,0.0295,0.021,0.002,,,,,,
281,Non-Fat Yogurt,oz/g,none,3.33,0.0,0.833,0.1176,0.0,0.0294,,,,,,
282,Low-Fat Yogurt,oz/g,none,5.284,0.326,1.128,0.1864,0.0115,0.0398,,,,,,
283,Light Yogurt,oz/g,none,2.126,0.051,1.094,0.075,0.0018,0.0386,,,,,,
284,Whole Milk Yogurt,oz/g,none,1.321,0.921,0.984,0.0466,0.0325,0.0347,,,,,,
285,Oikos Triple Zero - Greek Yogurt,cup/oz,none,7.0,0.0,15.0,1.25,0.0,2.65,,,,,,
286,Non-Fat Greek Yogurt,oz/g,none,0.9375,0.0,2.812,0.0352,0.0,0.1058,,,,,,
287,Low-Fat Greek Yogurt,oz/g,none,3.5,0.5,2.167,0.1235,0.0176,0.0764,,,,,,
288,Whole Milk Greek Yogurt,oz/g,none,1.128,1.417,2.551,0.0398,0.050,0.090,,,,,,
289,Sharp Cheddar Cheese - Shredded,oz/g,none,2.025,9.112,7.087,0.0714,0.3214,0.250,,,,,,
290,Mild Cheddar Cheese - Shredded,oz/g,none,1.012,10.125,6.075,0.0357,0.3571,0.2143,,,,,,
291,Triple Cheddar Cheese - Shredded,cup/g,none,0.0,36.0,28.0,0.0,0.3214,0.250,,,,,,
292,Cheddar Jack Cheese - Shredded,cup/g,none,4.0,36.0,24.0,0.0357,0.3214,0.2143,,,,,,
293,Sharp White Cheddar Cheese - Shredded,cup/g,none,4.0,36.0,24.0,0.0357,0.3214,0.2143,,,,,,
294,Mexican Style Cheese - Shredded,cup/g,none,2.0,32.0,24.0,0.0179,0.2857,0.2143,,,,,,
295,Chihuahua Cheese - Shredded,cup/g,none,0.0,32.0,24.0,0.0,0.2857,0.2143,,,,,,
296,Colby Jack Cheese - Shredded,cup/g,none,4.0,36.0,24.0,0.0357,0.3214,0.2143,,,,,,
297,Monterey Jack Cheese - Shredded,cup/g,none,4.0,32.0,28.0,0.0357,0.2857,0.250,,,,,,
298,Mozzarella Cheese - Shredded,cup/g,none,4.0,24.0,28.0,1,0.2143,0.250,,,,,,
